URUBU - 001;URUBU - 002;URUBU - 003;URUBU - 004;URUBU - 005;URUBU - 006;URUBU - 007;URUBU - 008;URUBU - 009;URUBU - 010;URUBU - 011;URUBU - 012;URUBU - 014;URUBU - 015;URUBU - 016;URUBU - 017;URUBU - 018;URUBU - 019;URUBU - 020;URUBU - 021;URUBU - 022;URUBU - 023;URUBU - 025;URUBU - 026;URUBU - 030;URUBU - 031;URUBU - 032;URUBU - 033;URUBU - 034;URUBU - 035;URUBU - 036;URUBU - 037;URUBU - 038;URUBU - 039;URUBU - 040;URUBU - 041;URUBU - 042
NC;NC;NC;NC;NC;CP;CP;CI;CI;CI;CI;CP;NC;CI;NC;NC;CI;CI;NC;CI;NC;CP;NC;NC;NC;CP;CP;NC;NC;NC;NC;CI;CI;NC;CI;NC;NC
D1;D1;D1;D1;D1;D1;D1;D1;D1;D1;D1;D1;D1;D2;D2;D2;D2;D2;D2;D2;D2;D2;D2;D2;D2;D2;D2;D2;D2;D3;D3;D2;D1;D2;D2;D1;D1
