id,rotulo,long,lat,area_irrig,MAY/2016,JUNE/2016,JULY/2016,AUGUST/2016,MAY/2017,JUNE/2017,JULY/2017,AUGUST/2017,MAY/2018,JUNE/2018,JULY/2018,AUGUST/2018,MAY/2019,JUNE/2019,JULY/2019,AUGUST/2019,MAY/2020,JUNE/2020,JULY/2020,AUGUST/2020,MAY/2021,JUNE/2021,JULY/2021,AUGUST/2021
165,JAVAES - 015,-49.961701,-10.872683,461.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,1,0,0
142,JAVAES - 006,-50.00954818725586,-11.553027153015137,957.27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,31,31,31,0,1,0,0
65,URUBU - 006,-49.609436,-10.853473,544.88,-1,-1,-1,-1,-1,-1,-1,-1,0,21,18,0,0,9,10,2,0,1,21,8,16,1,0,0
51,FORMOSO - 049,-49.922836,-10.604112,1000.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,12,0,0,0,1,0,0
42,FORMOSO - 050,-49.926888,-10.586694,800.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,14,0,0,12,1,0,0
122,URUBU - 002,-49.587646,-10.870381,0.0,-1,-1,-1,-1,-1,-1,-1,-1,31,31,16,0,0,1,8,20,31,31,21,6,16,1,4,4
20,FORMOSO - 023,-49.844463,-10.877019,441.88,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,21,4,31,1,1,0,0
147,JAVAES - 010,-50.005271,-11.46559,3500.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0
59,URUBU - 036,-49.792538,-10.83259,500.0,-1,-1,-1,-1,-1,-1,-1,-1,31,22,0,0,0,4,12,30,31,31,11,0,0,1,0,0
6,FORMOSO - 021,-49.832962,-10.925689,1800.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,31,15,0,23,1,3,0
8,FORMOSO - 019,-49.833103,-10.926642,1800.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,30,0,0,23,1,0,0
31,FORMOSO - 031,-49.799633,-10.804135,320.0,-1,-1,-1,-1,-1,-1,-1,-1,31,23,0,0,0,5,8,2,31,31,9,9,24,1,0,0
107,FORMOSO - 014,-49.6496,-11.678309,570.0,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,0,1,0,2,21,1,4,0,0,1,0,0
56,URUBU - 034,-49.753597,-10.826273,450.0,-1,-1,-1,-1,-1,-1,-1,-1,22,1,0,0,-1,-1,-1,-1,0,1,8,0,0,1,0,0
593,JAVAES - 002,-49.916539,-11.747884,600.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,31,31,31
118,URUBU - 016,-49.688923,-10.860516,0.0,-1,-1,-1,-1,-1,-1,-1,-1,31,23,0,0,0,1,0,2,4,4,7,0,0,1,0,0
41,FORMOSO - 051,-49.92698,-10.586587,800.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,14,0,0,0,1,0,0
48,FORMOSO - 046,-49.900925,-10.638722,1490.0,-1,-1,-1,-1,-1,-1,-1,-1,0,16,31,31,-1,-1,-1,-1,31,12,0,0,0,2,0,0
49,FORMOSO - 047,-49.901154,-10.638469,1490.0,-1,-1,-1,-1,-1,-1,-1,-1,0,16,31,31,-1,-1,-1,-1,31,12,0,0,0,2,0,0
153,JAVAES - 026,-49.945433,-10.393448,700.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0
70,URUBU - 021,-49.710102,-10.834447,345.0,-1,-1,-1,-1,31,31,31,31,0,16,18,0,0,17,31,31,31,31,1,0,25,1,0,0
