93.57 89.05 63.29 53.72 36.60 40.26 55.91 78.79
0.00 0.30 0.23 0.74 0.15 0.79 0.80 0.19
1.43 0.00 1.80 1.30 1.20 1.19 2.07 1.07
0.00 3.85 6.53 5.76 9.49 9.93 10.45 6.71
0.71 1.78 4.73 5.58 6.48 5.03 5.51 2.53
0.71 1.48 4.95 4.65 6.78 5.83 3.56 1.56
0.00 1.18 4.28 5.02 7.38 5.96 3.21 2.04
0.00 1.18 3.15 6.13 6.17 5.96 3.90 1.65
1.07 0.30 2.70 4.28 8.43 7.42 6.08 2.24
0.00 0.59 0.90 1.86 6.48 7.68 3.79 1.36
1.79 0.00 1.35 3.72 4.22 4.37 1.38 0.39
0.71 0.00 1.13 1.49 2.11 1.46 0.57 0.49
0.00 0.00 1.35 0.74 1.36 0.53 0.69 0.29
0.00 0.30 0.90 0.93 0.75 0.93 0.11 0.10
0.00 0.00 0.45 0.37 0.00 1.06 0.23 0.29
0.00 0.00 0.90 1.30 0.60 0.66 0.92 0.10
0.00 0.00 0.45 0.56 0.60 0.66 0.11 0.00
0.00 0.00 0.45 0.19 0.30 0.00 0.34 0.19
0.00 0.00 0.23 1.12 0.15 0.00 0.11 0.00
0.00 0.00 0.23 0.00 0.00 0.26 0.11 0.00
0.00 0.00 0.00 0.37 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.30 0.00 0.00 0.00
