95.71 88.31 54.26 27.83 23.19 32.14 43.57 79.74
0.00 0.00 0.00 0.00 0.72 0.00 0.00 0.65
1.43 0.00 2.13 0.87 2.90 5.00 5.71 3.27
0.00 2.60 5.32 6.96 9.42 9.29 14.29 4.58
1.43 5.19 10.64 6.96 4.35 3.57 5.71 1.96
0.00 1.30 7.45 13.91 10.87 14.29 7.14 2.61
1.43 0.00 12.77 25.22 10.87 7.14 2.86 0.65
0.00 0.00 4.26 6.96 10.87 4.29 5.71 0.65
0.00 1.30 2.13 6.96 13.77 11.43 8.57 3.92
0.00 0.00 0.00 2.61 7.25 9.29 3.57 1.96
0.00 1.30 0.00 0.87 5.07 3.57 2.86 0.00
0.00 0.00 0.00 0.87 0.72 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
0.00 0.00 1.06 0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
