Streamflow Gauge Comparison
"Scenario: MySimulation170, Streamflow Gauge: Foz Rio Urubu Regionalizado 2"
Cubic Meters per Second
Statistic;Modeled;Observed
10/01/2019;11.8766;27.9364
11/01/2019;12.2372;27.5252
12/01/2019;12.0233;24.2272
13/01/2019;9.49038;23.1102
14/01/2019;17.3055;25.9877
15/01/2019;17.3902;26.9557
16/01/2019;11.3856;27.9004
17/01/2019;10.7669;27.5749
18/01/2019;11.0853;28.5282
19/01/2019;9.16819;27.459
20/01/2019;10.1045;29.1255
21/01/2019;10.6793;28.8454
22/01/2019;9.70649;28.1245
23/01/2019;9.84004;24.4453
24/01/2019;9.78063;25.5361
25/01/2019;12.5564;23.6197
26/01/2019;13.5572;20.4779
27/01/2019;15.5172;19.0454
28/01/2019;16.5559;19.4217
29/01/2019;12.8011;19.9044
30/01/2019;11.528;20.2263
31/01/2019;10.8324;19.434
01/02/2019;29.1359;19.6388
02/02/2019;31.9141;18.9417
03/02/2019;27.296;17.1791
04/02/2019;27.3763;17.1962
05/02/2019;27.1157;15.94
06/02/2019;25.6046;14.6722
07/02/2019;29.5806;14.0032
08/02/2019;28.6093;15.8482
09/02/2019;26.6464;14.9419
10/02/2019;25.4053;17.7143
11/02/2019;27.1461;21.1823
12/02/2019;26.0291;22.1748
13/02/2019;25.0675;21.7765
14/02/2019;25.2885;22.6274
15/02/2019;24.362;20.9374
16/02/2019;23.5361;19.0644
17/02/2019;25.1707;19.0394
18/02/2019;26.7918;25.3242
19/02/2019;27.687;28.9888
20/02/2019;43.5989;32.2849
21/02/2019;31.5194;36.1435
22/02/2019;36.0219;38.437
23/02/2019;30.9044;39.6583
24/02/2019;31.0224;42.7722
25/02/2019;35.5956;48.4671
26/02/2019;32.9164;51.6909
27/02/2019;30.7972;53.9511
28/02/2019;47.5123;58.839
01/03/2019;52.3135;52.1317
02/03/2019;52.8276;42.0912
03/03/2019;53.3821;44.1632
04/03/2019;71.6042;51.117
05/03/2019;78.6946;55.4514
06/03/2019;70.6211;58.1866
07/03/2019;65.7888;60.1595
08/03/2019;64.7954;62.2691
09/03/2019;66.9406;64.0398
10/03/2019;69.8354;68.3035
11/03/2019;66.0027;70.6302
12/03/2019;66.3884;71.1694
13/03/2019;88.3669;74.1027
14/03/2019;71.3744;74.1934
15/03/2019;69.9244;72.6097
16/03/2019;84.1143;71.3231
17/03/2019;72.0843;71.6518
18/03/2019;72.8257;71.9994
19/03/2019;71.874;71.3761
20/03/2019;71.3811;72.5281
21/03/2019;87.5956;74.4074
22/03/2019;75.4182;75.8304
23/03/2019;94.2438;79.2901
24/03/2019;89.2183;84.0325
25/03/2019;107.035;92.6881
26/03/2019;100.912;104.587
27/03/2019;99.944;117.712
28/03/2019;102.718;128.913
29/03/2019;100.832;140.781
30/03/2019;105.468;152.32
31/03/2019;98.965;166.051
01/04/2019;94.3411;173.49
02/04/2019;95.3313;184.086
03/04/2019;93.0234;189.689
04/04/2019;109.926;193.754
05/04/2019;97.0341;197.68
06/04/2019;98.0592;198.379
07/04/2019;95.053;195.258
08/04/2019;97.5054;189.89
09/04/2019;102.662;185.317
10/04/2019;125.43;180.994
11/04/2019;104.843;174.298
12/04/2019;103.41;165.329
13/04/2019;102.031;160.253
14/04/2019;100.644;156.883
15/04/2019;99.2387;149.618
16/04/2019;100.48;133.871
17/04/2019;95.9811;124.543
18/04/2019;94.8066;126.555
19/04/2019;94.1744;125.903
20/04/2019;92.1701;127.559
21/04/2019;90.195;128.003
22/04/2019;89.4535;127.696
23/04/2019;99.7029;125.927
24/04/2019;90.1108;124.075
25/04/2019;88.2241;120.828
26/04/2019;86.7394;116.969
27/04/2019;85.0564;113.471
28/04/2019;83.4023;110.16
29/04/2019;81.5397;106.691
30/04/2019;81.7764;103.399
01/05/2019;77.9847;99.4809
02/05/2019;76.6376;94.2117
03/05/2019;76.1484;90.2608
04/05/2019;75.2752;87.4205
05/05/2019;74.6233;84.9963
06/05/2019;73.1978;84.2807
07/05/2019;72.2819;82.9056
08/05/2019;70.5202;79.9606
09/05/2019;69.6099;77.0497
10/05/2019;68.6368;74.2763
11/05/2019;67.5754;72.1337
12/05/2019;66.4184;69.274
13/05/2019;65.576;65.6717
14/05/2019;64.5941;63.5046
15/05/2019;73.4128;58.6549
16/05/2019;66.8506;59.1875
17/05/2019;69.1106;58.7028
18/05/2019;64.6373;57.5013
19/05/2019;63.2748;57.3532
20/05/2019;62.0643;57.4561
21/05/2019;62.3239;56.9576
22/05/2019;61.6353;55.9903
23/05/2019;60.0573;54.6948
24/05/2019;59.0379;52.8613
25/05/2019;57.5389;51.0451
26/05/2019;59.4492;49.1475
27/05/2019;63.7384;47.2041
28/05/2019;57.2132;46.2818
29/05/2019;57.0995;44.0707
30/05/2019;57.137;42.3699
31/05/2019;49.5777;39.3719
01/06/2019;21.5505;36.1058
02/06/2019;20.248;34.6328
03/06/2019;20.8918;31.8845
04/06/2019;20.4354;30.4601
05/06/2019;20.3217;27.8067
06/06/2019;19.8165;27.1268
07/06/2019;19.7115;25.4295
08/06/2019;19.2148;22.3581
09/06/2019;19.6613;19.7679
10/06/2019;19.3752;19.1937
11/06/2019;18.9168;17.5357
12/06/2019;19.214;0
13/06/2019;20.0112;15.745
14/06/2019;18.6082;12.2873
15/06/2019;18.3843;14.302
16/06/2019;18.1605;13.2336
17/06/2019;17.7441;12.2655
18/06/2019;17.7556;11.9816
19/06/2019;17.559;10.8527
20/06/2019;17.5602;9.6438
21/06/2019;17.4263;10.7742
22/06/2019;17.2351;10.0923
23/06/2019;17.089;0
24/06/2019;17.0541;10.4552
25/06/2019;16.9989;9.2265
26/06/2019;16.3364;8.12333
27/06/2019;16.6326;9.44026
28/06/2019;16.3614;8.37171
29/06/2019;15.9672;5.25894
30/06/2019;16.1234;5.91512
01/07/2019;5.18071;8.18744
02/07/2019;6.34719;6.03936
03/07/2019;5.91407;7.51692
04/07/2019;5.77677;5.94277
05/07/2019;5.88261;4.81592
06/07/2019;5.42345;5.68353
07/07/2019;5.73323;3.85097
08/07/2019;5.14646;0
09/07/2019;5.17296;5.18372
10/07/2019;5.49983;1.27478
11/07/2019;6.01663;3.63727
12/07/2019;5.98626;0.723247
13/07/2019;3.88529;0
14/07/2019;5.57375;0
15/07/2019;5.87527;0
16/07/2019;4.42856;0
17/07/2019;5.66486;3.0759
18/07/2019;5.64516;0.711378
19/07/2019;5.47793;0.43847
20/07/2019;5.29298;0
21/07/2019;5.03644;0
22/07/2019;3.58867;0
23/07/2019;5.60844;0
24/07/2019;5.16099;0.906256
25/07/2019;5.44701;0.903889
26/07/2019;3.97201;0
27/07/2019;4.89294;0
28/07/2019;4.78912;0
29/07/2019;5.32823;1.20934
30/07/2019;4.05519;0.522091
31/07/2019;5.10222;0
01/08/2019;6.79616;0
02/08/2019;6.77136;0.777648
03/08/2019;5.94848;0
04/08/2019;6.68328;0.303678
05/08/2019;6.54135;3.36421
06/08/2019;6.59921;2.02587
07/08/2019;6.55047;1.78226
08/08/2019;5.01255;1.27976
09/08/2019;5.1311;0
10/08/2019;6.42376;0
11/08/2019;6.36677;2.04644
12/08/2019;5.97778;3.39999
13/08/2019;6.11025;1.14878
14/08/2019;6.25772;1.28945
15/08/2019;6.21607;0
16/08/2019;6.17388;0
17/08/2019;6.13195;1.0321
18/08/2019;6.0946;2.50671
19/08/2019;5.99817;3.5309
20/08/2019;6.01901;3.40157
21/08/2019;5.98147;3.04797
22/08/2019;5.94272;2.25643
23/08/2019;5.38129;0.287313
24/08/2019;5.87367;2.86269
25/08/2019;5.84026;2.96073
26/08/2019;5.80577;3.08646
27/08/2019;5.74473;0
28/08/2019;5.67209;1.63339
29/08/2019;5.69392;3.2406
30/08/2019;5.09458;1.86648
31/08/2019;5.52194;3.30513
01/09/2019;5.60828;3.09101
02/09/2019;5.57404;3.33343
03/09/2019;5.53925;3.32091
04/09/2019;5.50478;3.3084
05/09/2019;5.47003;3.35429
06/09/2019;5.43578;3.38002
07/09/2019;5.40037;3.40227
08/09/2019;5.36375;3.40922
09/09/2019;5.3299;3.38836
10/09/2019;5.29819;3.37515
11/09/2019;5.26604;3.36959
12/09/2019;5.23408;3.32022
13/09/2019;5.20221;3.30701
14/09/2019;5.1707;3.28893
15/09/2019;5.13921;3.28615
16/09/2019;5.10773;3.30144
17/09/2019;5.07835;3.28962
18/09/2019;5.04881;3.25346
19/09/2019;5.0185;3.24025
20/09/2019;4.99035;3.2333
21/09/2019;4.96519;3.218
22/09/2019;4.9399;3.19992
23/09/2019;4.91349;3.19228
24/09/2019;4.88726;3.21035
25/09/2019;4.86207;3.16446
26/09/2019;4.83938;3.0586
27/09/2019;4.82434;3.10953
28/09/2019;4.80922;3.07546
29/09/2019;4.79164;3.15056
30/09/2019;5.15853;3.30283
01/10/2019;5.74816;3.36194
02/10/2019;5.62353;3.2931
03/10/2019;5.48607;3.29449
04/10/2019;5.50335;3.26181
05/10/2019;7.03974;3.35568
06/10/2019;5.66371;3.34733
07/10/2019;5.75907;3.33969
08/10/2019;5.74397;3.30979
09/10/2019;7.24172;3.28406
10/10/2019;5.8634;3.37167
11/10/2019;5.92289;3.43842
12/10/2019;5.97949;3.42799
13/10/2019;5.97637;3.42034
14/10/2019;5.95607;3.41409
15/10/2019;6.08537;3.404
16/10/2019;6.04319;3.38905
17/10/2019;5.94486;3.38419
