lower_limit;upper_limit
0;0
1;100
100;1000
1000;11000
11000;21000
21000;31000
31000;41000
41000;51000
51000;61000
61000;71000
71000;81000
81000;91000
91000;101000
101000;111000
111000;121000
121000;131000
131000;141000
141000;151000
151000;161000
161000;171000
171000;181000
181000;191000
