Streamflow (below node or reach listed)
"Scenario: MySimulation19, River: Rio Urubu"
Cubic Meters per Second
"Rio Urubu Nodes and Reaches";"0 \ Headflow";"1 \ BACIA DO URUBU Runoff";"2 \ Reach";"3 \ Withdrawal Node 5";"4 \ Reach";"5 \ D1 Return";"6 \ Reach";"7 \ Withdrawal Node 1";"8 \ Reach";"9 \ D2 Return";"9 \ Foz Rio Urubu Regionalizado 2 (gauge)";"9 \ Foz Urubu REGIONALIZADO (gauge)";"10 \ Reach";"11 \ Rio Duere Inflow";"12 \ Reach";"13 \ Withdrawal Node 6";"14 \ Reach";"15 \ D3 Return";"15 \ FOZ URUBU_TELEMÉTRICA_26798500 (gauge)";"16 \ Reach"
26/07/2018; ;2.01058;2.01058;2.01058;2.01058;2.01058;2.01058;2.01058;2.01058;2.01058;0;2.77385;2.01058;10.5727;10.5727;10.5727;10.5727;10.5727;6.47789;10.5727
27/07/2018; ;2.00339;2.00339;2.00339;2.00339;2.00339;2.00339;2.00339;2.00339;2.00339;0;2.40395;2.00339;10.4945;10.4945;10.4945;10.4945;10.4945;5.61403;10.4945
28/07/2018; ;1.99615;1.99615;1.99615;1.99615;1.99615;1.99615;1.99615;1.99615;1.99615;0;2.08928;1.99615;10.4159;10.4159;10.4159;10.4159;10.4159;4.87918;10.4159
29/07/2018; ;1.98887;1.98887;1.98887;1.98887;1.98887;1.98887;1.98887;1.98887;1.98887;0;1.89849;1.98887;10.3369;10.3369;10.3369;10.3369;10.3369;4.43361;10.3369
30/07/2018; ;1.98249;1.98249;1.98249;1.98249;1.98249;1.98249;1.98249;1.98249;1.98249;0;1.82601;1.98249;10.266;10.266;10.266;10.266;10.266;4.26437;10.266
31/07/2018; ;1.97699;1.97699;1.97699;1.97699;1.97699;1.97699;1.97699;1.97699;1.97699;0;1.19489;1.97699;10.2029;10.2029;10.2029;10.2029;10.2029;2.79049;10.2029
01/08/2018; ;1.572;1.572;1.572;1.572;1.572;1.572;1.572;1.572;1.572;0;1.02275;1.572;6.10292;6.10292;6.10292;6.10292;6.10292;2.38847;6.10292
02/08/2018; ;1.57524;1.57524;1.57524;1.57524;1.57524;1.57524;1.57524;1.57524;1.57524;0;0.818422;1.57524;9.3239;9.3239;9.3239;9.3239;9.3239;1.9113;9.3239
03/08/2018; ;1.57843;1.57843;1.57843;1.57843;1.57843;1.57843;1.57843;1.57843;1.57843;0;0.693521;1.57843;9.27991;9.27991;9.27991;9.27991;9.27991;1.61961;9.27991
04/08/2018; ;1.58154;1.58154;1.58154;1.58154;1.58154;1.58154;1.58154;1.58154;1.58154;0;0.568849;1.58154;9.23306;9.23306;9.23306;9.23306;9.23306;1.32846;9.23306
05/08/2018; ;1.58458;1.58458;1.58458;1.58458;1.58458;1.58458;1.58458;1.58458;1.58458;0;0.989554;1.58458;9.1852;9.1852;9.1852;9.1852;9.1852;2.31095;9.1852
06/08/2018; ;1.58756;1.58756;1.58756;1.58756;1.58756;1.58756;1.58756;1.58756;1.58756;0;0.83107;1.58756;9.137;9.137;9.137;9.137;9.137;1.94083;9.137
07/08/2018; ;1.59047;1.59047;1.59047;1.59047;1.59047;1.59047;1.59047;1.59047;1.59047;0;0.827888;1.59047;9.08887;9.08887;9.08887;9.08887;9.08887;1.9334;9.08887
08/08/2018; ;1.59332;1.59332;1.59332;1.59332;1.59332;1.59332;1.59332;1.59332;1.59332;0;0.762565;1.59332;9.04226;9.04226;9.04226;9.04226;9.04226;1.78085;9.04226
09/08/2018; ;1.5961;1.5961;1.5961;1.5961;1.5961;1.5961;1.5961;1.5961;1.5961;0;0.656806;1.5961;8.99891;8.99891;8.99891;8.99891;8.99891;1.53387;8.99891
10/08/2018; ;1.59882;1.59882;1.59882;1.59882;1.59882;1.59882;1.59882;1.59882;1.59882;0;0.904012;1.59882;8.9597;8.9597;8.9597;8.9597;8.9597;2.11118;8.9597
11/08/2018; ;1.60149;1.60149;1.60149;1.60149;1.60149;1.60149;1.60149;1.60149;1.60149;0;0.670959;1.60149;8.91778;8.91778;8.91778;8.91778;8.91778;1.56692;8.91778
12/08/2018; ;1.6041;1.6041;1.6041;1.6041;1.6041;1.6041;1.6041;1.6041;1.6041;0;0.574072;1.6041;8.8719;8.8719;8.8719;8.8719;8.8719;1.34065;8.8719
13/08/2018; ;1.60664;1.60664;1.60664;1.60664;1.60664;1.60664;1.60664;1.60664;1.60664;0.415789;0.628619;1.60664;8.83069;8.83069;8.83069;8.83069;8.83069;1.46804;8.83069
14/08/2018; ;1.60913;1.60913;1.60913;1.60913;1.60913;1.60913;1.60913;1.60913;1.60913;0;0.745971;1.60913;8.79571;8.79571;8.79571;8.79571;8.79571;1.7421;8.79571
15/08/2018; ;1.61157;1.61157;1.61157;1.61157;1.61157;1.61157;1.61157;1.61157;1.61157;0;0.874553;1.61157;8.8059;8.8059;8.8059;8.8059;8.8059;2.04238;8.8059
16/08/2018; ;1.61397;1.61397;1.61397;1.61397;1.61397;1.61397;1.61397;1.61397;1.61397;0;0.705072;1.61397;8.81638;8.81638;8.81638;8.81638;8.81638;1.64659;8.81638
17/08/2018; ;1.61633;1.61633;1.61633;1.61633;1.61633;1.61633;1.61633;1.61633;1.61633;0;0.648694;1.61633;8.71148;8.71148;8.71148;8.71148;8.71148;1.51492;8.71148
18/08/2018; ;1.61866;1.61866;1.61866;1.61866;1.61866;1.61866;1.61866;1.61866;1.61866;0;0.91224;1.61866;8.6794;8.6794;8.6794;8.6794;8.6794;2.13039;8.6794
19/08/2018; ;1.62093;1.62093;1.62093;1.62093;1.62093;1.62093;1.62093;1.62093;1.62093;0;0.565225;1.62093;8.64558;8.64558;8.64558;8.64558;8.64558;1.31999;8.64558
20/08/2018; ;1.62314;1.62314;1.62314;1.62314;1.62314;1.62314;1.62314;1.62314;1.62314;0;0.612309;1.62314;8.60502;8.60502;8.60502;8.60502;8.60502;1.42995;8.60502
21/08/2018; ;1.6253;1.6253;1.6253;1.6253;1.6253;1.6253;1.6253;1.6253;1.6253;0.335436;0.653807;1.6253;8.56142;8.56142;8.56142;8.56142;8.56142;1.52686;8.56142
22/08/2018; ;1.62741;1.62741;1.62741;1.62741;1.62741;1.62741;1.62741;1.62741;1.62741;0;0.741713;1.62741;8.52083;8.52083;8.52083;8.52083;8.52083;1.73215;8.52083
23/08/2018; ;1.62946;1.62946;1.62946;1.62946;1.62946;1.62946;1.62946;1.62946;1.62946;0;0.701885;1.62946;8.48344;8.48344;8.48344;8.48344;8.48344;1.63914;8.48344
24/08/2018; ;1.63146;1.63146;1.63146;1.63146;1.63146;1.63146;1.63146;1.63146;1.63146;0;0.597997;1.63146;8.4474;8.4474;8.4474;8.4474;8.4474;1.39653;8.4474
25/08/2018; ;1.63341;1.63341;1.63341;1.63341;1.63341;1.63341;1.63341;1.63341;1.63341;0;2.5232;1.63341;8.41302;8.41302;8.41302;8.41302;8.41302;5.89253;8.41302
26/08/2018; ;1.63532;1.63532;1.63532;1.63532;1.63532;1.63532;1.63532;1.63532;1.63532;0;3.57674;1.63532;8.37794;8.37794;8.37794;8.37794;8.37794;8.3529;8.37794
27/08/2018; ;1.63718;1.63718;1.63718;1.63718;1.63718;1.63718;1.63718;1.63718;1.63718;0;0.570657;1.63718;8.34186;8.34186;8.34186;8.34186;8.34186;1.33268;8.34186
28/08/2018; ;1.63898;1.63898;1.63898;1.63898;1.63898;1.63898;1.63898;1.63898;1.63898;0.349332;0.752737;1.63898;8.30497;8.30497;8.30497;8.30497;8.30497;1.7579;8.30497
29/08/2018; ;1.64074;1.64074;1.64074;1.64074;1.64074;1.64074;1.64074;1.64074;1.64074;0.699794;0.634617;1.64074;8.2677;8.2677;8.2677;8.2677;8.2677;1.48205;8.2677
30/08/2018; ;1.64247;1.64247;1.64247;1.64247;1.64247;1.64247;1.64247;1.64247;1.64247;0;2.50621;1.64247;8.23137;8.23137;8.23137;8.23137;8.23137;5.85286;8.23137
31/08/2018; ;1.64413;1.64413;1.64413;1.64413;1.64413;1.64413;1.64413;1.64413;1.64413;0.823598;3.56604;1.64413;8.19556;8.19556;8.19556;8.19556;8.19556;8.32791;8.19556
