Streamflow (below node or reach listed)
"Scenario: MySimulation13, River: Rio Urubu"
Cubic Meters per Second
"Rio Urubu Nodes and Reaches";"0 \ Headflow";"1 \ BACIA DO URUBU Runoff";"2 \ Reach";"3 \ Withdrawal Node 5";"4 \ Reach";"5 \ D1 Return";"6 \ Reach";"7 \ Withdrawal Node 1";"8 \ Reach";"9 \ D2 Return";"9 \ Foz Rio Urubu Regionalizado 2 (gauge)";"9 \ Foz Urubu REGIONALIZADO (gauge)";"10 \ Reach";"11 \ Rio Duere Inflow";"12 \ Reach";"13 \ Withdrawal Node 6";"14 \ Reach";"15 \ D3 Return";"15 \ FOZ URUBU_TELEMÉTRICA_26798500 (gauge)";"16 \ Reach"
01/07/2018; ;2.27066;2.27066;1.25583;1.25583;1.35732;1.35732;0;0;0.135732;0;1.99534;0.135732;11.0659;11.0659;10.716;10.716;10.751;4.65981;10.751
02/07/2018; ;2.25659;2.25659;1.13813;1.13813;1.24998;1.24998;0;0;0.124998;0;1.75101;0.124998;10.9351;10.9351;10.9351;10.9351;10.9351;4.08921;10.9351
03/07/2018; ;2.2423;2.2423;1.0578;1.0578;1.17625;1.17625;0;0;0.117625;0;1.90103;0.117625;10.8061;10.8061;10.4145;10.4145;10.4537;4.43955;10.4537
04/07/2018; ;2.22878;2.22878;1.25395;1.25395;1.35144;1.35144;0;0;0.135144;0;1.91121;0.135144;10.7071;10.7071;10.7068;10.7068;10.7069;4.46332;10.7069
05/07/2018; ;2.21579;2.21579;1.13211;1.13211;1.24048;1.24048;0;0;0.124048;0;1.86671;0.124048;10.5836;10.5836;10.2829;10.2829;10.3129;4.35941;10.3129
06/07/2018; ;2.20448;2.20448;1.52289;1.52289;1.59105;1.59105;0;0;0.159105;0;1.62976;0.159105;10.5175;10.5175;10.2372;10.2372;10.2652;3.80605;10.2652
07/07/2018; ;2.19331;2.19331;1.04495;1.04495;1.15978;1.15978;0;0;0.115978;0;1.34834;0.115978;10.3736;10.3736;10.0959;10.0959;10.1237;3.14883;10.1237
08/07/2018; ;2.18138;2.18138;1.20789;1.20789;1.30524;1.30524;0;0;0.130524;0;1.05923;0.130524;10.2822;10.2822;9.96563;9.96563;9.99728;2.47367;9.99728
09/07/2018; ;2.16981;2.16981;1.14807;1.14807;1.25024;1.25024;0;0;0.125024;0;0.938681;0.125024;10.1734;10.1734;9.78595;9.78595;9.8247;2.19214;9.8247
10/07/2018; ;2.15826;2.15826;1.11723;1.11723;1.22133;1.22133;0;0;0.122133;0.00310345;0.897522;0.122133;10.0672;10.0672;9.85968;9.85968;9.88043;2.09602;9.88043
11/07/2018; ;2.14709;2.14709;1.15028;1.15028;1.24997;1.24997;0;0;0.124997;0;0.900871;0.124997;9.96944;9.96944;9.5034;9.5034;9.55001;2.10384;9.55001
12/07/2018; ;2.13669;2.13669;1.34527;1.34527;1.42441;1.42441;0;0;0.142441;0;0.86369;0.142441;9.8917;9.8917;9.67273;9.67273;9.69463;2.01701;9.69463
13/07/2018; ;2.12654;2.12654;0.894436;0.894436;1.01765;1.01765;0;0;0.101765;0;0.860726;0.101765;9.75768;9.75768;9.04832;9.04832;9.11925;2.01009;9.11925
14/07/2018; ;2.11612;2.11612;0.942571;0.942571;1.05993;1.05993;0;0;0.105993;0;0.791403;0.105993;9.66655;9.66655;9.29014;9.29014;9.32778;1.8482;9.32778
15/07/2018; ;2.10596;2.10596;0.904;0.904;1.0242;1.0242;0;0;0.10242;0;0.752097;0.10242;9.56949;9.56949;8.71945;8.71945;8.80445;1.7564;8.80445
16/07/2018; ;2.09613;2.09613;1.25108;1.25108;1.33558;1.33558;0;0;0.133558;1.48921;0.840627;0.133558;9.50958;9.50958;9.3585;9.3585;9.37361;1.96315;9.37361
17/07/2018; ;2.08645;2.08645;0.568697;0.568697;0.720472;0.720472;0;0;0.0720472;0;0.902854;0.0720472;9.35752;9.35752;9.03891;9.03891;9.07077;2.10847;9.07077
18/07/2018; ;2.07703;2.07703;0.614804;0.614804;0.761026;0.761026;0;0;0.0761026;0;0.886325;0.0761026;9.274;9.274;9.14326;9.14326;9.15634;2.06987;9.15634
19/07/2018; ;2.06791;2.06791;1.15771;1.15771;1.24873;1.24873;0;0;0.124873;0;0.837344;0.124873;9.23784;9.23784;9.01283;9.01283;9.03533;1.95549;9.03533
20/07/2018; ;2.05918;2.05918;0.997254;0.997254;1.10345;1.10345;0;0;0.110345;0;0.799196;0.110345;9.14033;9.14033;8.82415;8.82415;8.85577;1.86639;8.85577
21/07/2018; ;2.05051;2.05051;1.49851;1.49851;1.55371;1.55371;0;0;0.155371;0;0.668022;0.155371;9.10288;9.10288;8.5438;8.5438;8.59971;1.56006;8.59971
22/07/2018; ;2.04186;2.04186;1.04871;1.04871;1.14803;1.14803;0;0;0.114803;0;0.659362;0.114803;8.98006;8.98006;8.82909;8.82909;8.84418;1.53984;8.84418
23/07/2018; ;2.03337;2.03337;1.24229;1.24229;1.3214;1.3214;0;0;0.13214;0;0.709339;0.13214;8.91621;8.91621;8.91621;8.91621;8.91621;1.65655;8.91621
24/07/2018; ;2.02545;2.02545;0.832282;0.832282;0.951599;0.951599;0;0;0.0951599;0;0.745367;0.0951599;8.80252;8.80252;8.80252;8.80252;8.80252;1.74069;8.80252
25/07/2018; ;2.01799;2.01799;2.01799;2.01799;2.01799;2.01799;2.01799;2.01799;2.01799;0;0.705902;2.01799;10.6525;10.6525;10.6525;10.6525;10.6525;1.64852;10.6525
26/07/2018; ;2.01058;2.01058;2.01058;2.01058;2.01058;2.01058;2.01058;2.01058;2.01058;0;2.77385;2.01058;10.5727;10.5727;10.5727;10.5727;10.5727;6.47789;10.5727
27/07/2018; ;2.00339;2.00339;2.00339;2.00339;2.00339;2.00339;2.00339;2.00339;2.00339;0;2.40395;2.00339;10.4945;10.4945;10.4945;10.4945;10.4945;5.61403;10.4945
28/07/2018; ;1.99615;1.99615;1.99615;1.99615;1.99615;1.99615;1.99615;1.99615;1.99615;0;2.08928;1.99615;10.4159;10.4159;10.4159;10.4159;10.4159;4.87918;10.4159
