Streamflow (below node or reach listed)
"Scenario: MySimulation10, River: Rio Urubu"
Cubic Meters per Second
"Rio Urubu Nodes and Reaches";"0 \ Headflow";"1 \ BACIA DO URUBU Runoff";"2 \ Reach";"3 \ Withdrawal Node 5";"4 \ Reach";"5 \ D1 Return";"6 \ Reach";"7 \ Withdrawal Node 1";"8 \ Reach";"9 \ D2 Return";"9 \ Foz Rio Urubu Regionalizado 2 (gauge)";"9 \ Foz Urubu REGIONALIZADO (gauge)";"10 \ Reach";"11 \ Rio Duere Inflow";"12 \ Reach";"13 \ Withdrawal Node 6";"14 \ Reach";"15 \ D3 Return";"15 \ FOZ URUBU_TELEMÉTRICA_26798500 (gauge)";"16 \ Reach"
01/07/2018; ;2.27066;2.27066;1.01909;1.01909;1.14424;1.14424;0;0;0.114424;0;1.99534;0.114424;11.0446;11.0446;11.0446;11.0446;11.0446;4.65981;11.0446
02/07/2018; ;2.25659;2.25659;1.12129;1.12129;1.23482;1.23482;0;0;0.123482;0;1.75101;0.123482;10.9336;10.9336;10.7405;10.7405;10.7598;4.08921;10.7598
03/07/2018; ;2.2423;2.2423;1.29373;1.29373;1.38859;1.38859;0;0;0.138859;0;1.90103;0.138859;10.8274;10.8274;9.98902;9.98902;10.0729;4.43955;10.0729
04/07/2018; ;2.22878;2.22878;1.11422;1.11422;1.22568;1.22568;0;0;0.122568;0;1.91121;0.122568;10.6945;10.6945;10.3532;10.3532;10.3873;4.46332;10.3873
05/07/2018; ;2.21579;2.21579;1.25475;1.25475;1.35085;1.35085;0;0;0.135085;0;1.86671;0.135085;10.5946;10.5946;10.5941;10.5941;10.5941;4.35941;10.5941
06/07/2018; ;2.20448;2.20448;1.42833;1.42833;1.50594;1.50594;0;0;0.150594;0;1.62976;0.150594;10.509;10.509;10.1992;10.1992;10.2302;3.80605;10.2302
07/07/2018; ;2.19331;2.19331;1.2795;1.2795;1.37088;1.37088;0;0;0.137088;0;1.34834;0.137088;10.3947;10.3947;9.68788;9.68788;9.75856;3.14883;9.75856
08/07/2018; ;2.18138;2.18138;1.02698;1.02698;1.14242;1.14242;0;0;0.114242;0;1.05923;0.114242;10.2659;10.2659;9.8358;9.8358;9.87881;2.47367;9.87881
09/07/2018; ;2.16981;2.16981;1.09311;1.09311;1.20078;1.20078;0;0;0.120078;0;0.938681;0.120078;10.1685;10.1685;9.53842;9.53842;9.60142;2.19214;9.60142
10/07/2018; ;2.15826;2.15826;1.17003;1.17003;1.26885;1.26885;0;0;0.126885;0.00310345;0.897522;0.126885;10.072;10.072;9.68347;9.68347;9.72232;2.09602;9.72232
