1,0,date ('2020-05-01 00:00:00'),['URUBU - 038','URUBU - 041','URUBU - 042','URUBU - 001','URUBU - 002','URUBU - 003','URUBU - 004','URUBU - 005','URUBU - 006','URUBU - 007','URUBU - 008','URUBU - 010','URUBU - 009','URUBU - 011','URUBU - 012','URUBU - 014','URUBU - 015','URUBU - 040','URUBU - 016','URUBU - 018','URUBU - 017','URUBU - 019','URUBU - 020','URUBU - 021','URUBU - 022','URUBU - 023','URUBU - 025','URUBU - 039','URUBU - 026','URUBU - 032','URUBU - 031','URUBU - 030','URUBU - 033','URUBU - 037','URUBU - 034','URUBU - 035','URUBU - 036']
1,1,date ('2020-05-01 00:00:00'),['URUBU - 038','URUBU - 041','URUBU - 042','URUBU - 001','URUBU - 002','URUBU - 003','URUBU - 004','URUBU - 005','URUBU - 006','URUBU - 007','URUBU - 008','URUBU - 010','URUBU - 009','URUBU - 011','URUBU - 012','URUBU - 014','URUBU - 015','URUBU - 040','URUBU - 016','URUBU - 018','URUBU - 017','URUBU - 019','URUBU - 020','URUBU - 021','URUBU - 022','URUBU - 023','URUBU - 025','URUBU - 039','URUBU - 026','URUBU - 032','URUBU - 031','URUBU - 030','URUBU - 033','URUBU - 037','URUBU - 034','URUBU - 035','URUBU - 036']
2,0,date ('2020-05-02 00:00:00'),['URUBU - 038','URUBU - 041','URUBU - 042','URUBU - 001','URUBU - 002','URUBU - 003','URUBU - 004','URUBU - 005','URUBU - 006','URUBU - 007','URUBU - 008','URUBU - 010','URUBU - 009','URUBU - 011','URUBU - 012','URUBU - 014','URUBU - 015','URUBU - 040','URUBU - 016','URUBU - 018','URUBU - 017','URUBU - 019','URUBU - 020','URUBU - 021','URUBU - 022','URUBU - 023','URUBU - 025','URUBU - 039','URUBU - 026','URUBU - 032','URUBU - 031','URUBU - 030','URUBU - 033','URUBU - 037','URUBU - 034','URUBU - 035','URUBU - 036']
2,1,date ('2020-05-02 00:00:00'),['URUBU - 038','URUBU - 041','URUBU - 042','URUBU - 001','URUBU - 002','URUBU - 003','URUBU - 004','URUBU - 005','URUBU - 006','URUBU - 007','URUBU - 008','URUBU - 010','URUBU - 009','URUBU - 011','URUBU - 012','URUBU - 014','URUBU - 015','URUBU - 040','URUBU - 016','URUBU - 018','URUBU - 017','URUBU - 019','URUBU - 020','URUBU - 021','URUBU - 022','URUBU - 023','URUBU - 025','URUBU - 039','URUBU - 026','URUBU - 032','URUBU - 031','URUBU - 030','URUBU - 033','URUBU - 037','URUBU - 034','URUBU - 035','URUBU - 036']
3,1,date ('2020-05-03 00:00:00'),['URUBU - 038','URUBU - 041','URUBU - 042','URUBU - 001','URUBU - 002','URUBU - 003','URUBU - 004','URUBU - 005','URUBU - 006','URUBU - 007','URUBU - 008','URUBU - 010','URUBU - 009','URUBU - 011','URUBU - 012','URUBU - 014','URUBU - 015','URUBU - 040','URUBU - 016','URUBU - 018','URUBU - 017','URUBU - 019','URUBU - 020','URUBU - 021','URUBU - 022','URUBU - 023','URUBU - 025','URUBU - 039','URUBU - 026','URUBU - 032','URUBU - 031','URUBU - 030','URUBU - 033','URUBU - 037','URUBU - 034','URUBU - 035','URUBU - 036']
3,0,date ('2020-05-03 00:00:00'),['URUBU - 038','URUBU - 041','URUBU - 042','URUBU - 001','URUBU - 002','URUBU - 003','URUBU - 004','URUBU - 005','URUBU - 006','URUBU - 007','URUBU - 008','URUBU - 010','URUBU - 009','URUBU - 011','URUBU - 012','URUBU - 014','URUBU - 015','URUBU - 040','URUBU - 016','URUBU - 018','URUBU - 017','URUBU - 019','URUBU - 020','URUBU - 021','URUBU - 022','URUBU - 023','URUBU - 025','URUBU - 039','URUBU - 026','URUBU - 032','URUBU - 031','URUBU - 030','URUBU - 033','URUBU - 037','URUBU - 034','URUBU - 035','URUBU - 036']
4,1,date ('2020-05-04 00:00:00'),['URUBU - 038','URUBU - 041','URUBU - 042','URUBU - 001','URUBU - 002','URUBU - 003','URUBU - 004','URUBU - 005','URUBU - 006','URUBU - 007','URUBU - 008','URUBU - 010','URUBU - 009','URUBU - 011','URUBU - 012','URUBU - 014','URUBU - 015','URUBU - 040','URUBU - 016','URUBU - 018','URUBU - 017','URUBU - 019','URUBU - 020','URUBU - 021','URUBU - 022','URUBU - 023','URUBU - 025','URUBU - 039','URUBU - 026','URUBU - 032','URUBU - 031','URUBU - 030','URUBU - 033','URUBU - 037','URUBU - 034','URUBU - 035','URUBU - 036']
4,0,date ('2020-05-04 00:00:00'),['URUBU - 038','URUBU - 041','URUBU - 042','URUBU - 001','URUBU - 002','URUBU - 003','URUBU - 004','URUBU - 005','URUBU - 006','URUBU - 007','URUBU - 008','URUBU - 010','URUBU - 009','URUBU - 011','URUBU - 012','URUBU - 014','URUBU - 015','URUBU - 040','URUBU - 016','URUBU - 018','URUBU - 017','URUBU - 019','URUBU - 020','URUBU - 021','URUBU - 022','URUBU - 023','URUBU - 025','URUBU - 039','URUBU - 026','URUBU - 032','URUBU - 031','URUBU - 030','URUBU - 033','URUBU - 037','URUBU - 034','URUBU - 035','URUBU - 036']
5,1,date ('2020-05-05 00:00:00'),['URUBU - 038','URUBU - 041','URUBU - 042','URUBU - 001','URUBU - 002','URUBU - 003','URUBU - 004','URUBU - 005','URUBU - 006','URUBU - 007','URUBU - 008','URUBU - 010','URUBU - 009','URUBU - 011','URUBU - 012','URUBU - 014','URUBU - 015','URUBU - 040','URUBU - 016','URUBU - 018','URUBU - 017','URUBU - 019','URUBU - 020','URUBU - 021','URUBU - 022','URUBU - 023','URUBU - 025','URUBU - 039','URUBU - 026','URUBU - 032','URUBU - 031','URUBU - 030','URUBU - 033','URUBU - 037','URUBU - 034','URUBU - 035','URUBU - 036']
5,0,date ('2020-05-05 00:00:00'),['URUBU - 038','URUBU - 041','URUBU - 042','URUBU - 001','URUBU - 002','URUBU - 003','URUBU - 004','URUBU - 005','URUBU - 006','URUBU - 007','URUBU - 008','URUBU - 010','URUBU - 009','URUBU - 011','URUBU - 012','URUBU - 014','URUBU - 015','URUBU - 040','URUBU - 016','URUBU - 018','URUBU - 017','URUBU - 019','URUBU - 020','URUBU - 021','URUBU - 022','URUBU - 023','URUBU - 025','URUBU - 039','URUBU - 026','URUBU - 032','URUBU - 031','URUBU - 030','URUBU - 033','URUBU - 037','URUBU - 034','URUBU - 035','URUBU - 036']
