97.55 76.36 47.54 29.41 34.80 44.53 63.77 89.55
0.00 0.00 0.66 0.59 0.00 0.59 0.57 0.00
0.00 2.27 0.98 0.59 0.66 1.17 0.75 0.00
0.61 4.55 4.59 7.65 7.05 8.40 7.92 2.65
1.84 3.64 12.79 15.29 9.69 11.52 4.53 1.87
0.00 2.27 9.18 12.65 11.23 6.05 2.83 0.78
0.00 3.18 6.89 10.29 12.11 5.08 5.28 2.03
0.00 3.18 6.56 9.41 8.81 6.84 3.40 1.56
0.00 0.45 2.30 4.41 2.64 3.52 3.77 0.31
0.00 1.36 0.98 1.76 2.20 4.69 2.08 0.16
0.00 0.45 0.66 0.88 2.86 1.17 1.32 0.47
0.00 0.45 0.66 1.76 1.32 2.15 0.57 0.16
0.00 0.00 0.98 2.06 2.20 1.37 1.32 0.31
0.00 1.82 3.61 1.18 2.64 2.15 0.75 0.16
0.00 0.00 0.33 1.18 1.54 0.39 0.57 0.00
0.00 0.00 1.31 0.59 0.22 0.39 0.38 0.00
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00 0.00 0.19 0.00
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.29 0.00 0.00 0.00 0.00
